entity_type,id,name,parent_tm,status,changed_fields
TM,391,TÜPRAŞ,,unchanged,
TM,392,KOCADAĞ RES,,unchanged,
TM,393,BABAESKİ,,unchanged,
TM,394,MANİSA OSB,,unchanged,
TM,395,BÖLÜCEK,,unchanged,
TM,396,ÖZKAN DEMİRÇELİK,,unchanged,
TM,397,YENİ DGKÇS,,unchanged,
TM,398,KIZILDÜZ HES ŞAHMALLAR HES,,unchanged,
TM,399,TOSÇELİK,,unchanged,
TM,400,SAMURLU RES,,unchanged,
TM,401,ALİAĞA RES,,unchanged,
TM,402,SEYİTALİ RES,,unchanged,
TM,403,HİLVAN,,unchanged,
TM,404,KAPTANÇELİK,,unchanged,
TM,405,LODOS RES,,unchanged,
TM,406,KOZBEYLİ RES,,unchanged,
TM,407,GÖKÇEDAĞ RES,,unchanged,
TM,409,TEKİRDAĞ DGKÇ (B),,unchanged,
TM,410,NEOSANTA (YUNANİSTAN),,unchanged,
TM,411,ÖDEMİŞ,,unchanged,
TM,412,BELEN RES,,unchanged,
TM,413,TİRE,,unchanged,
TM,414,KEMERKÖY TES,,unchanged,
TM,416,YATAĞAN TES,,unchanged,
TM,417,MARİTSA (BULGARİSTAN),,unchanged,
TM,419,BOTAŞ,,unchanged,
TM,420,YENİKÖY TES,,unchanged,
TM,421,ÇATALBÜK RES,,unchanged,
TM,423,MAHMUTLAR,,unchanged,
TM,426,AKBÜK,,unchanged,
TM,427,YAVRUDOĞAN,,unchanged,
TM,428,AYDIN,,unchanged,
TM,429,MMK METALURJİ,,unchanged,
TM,430,BODRUM 1,,unchanged,
TM,431,MUĞLA,,unchanged,
TM,432,TOSYALI METALURJİ,,unchanged,
TM,433,MANCARLIK GİS,,unchanged,
TM,434,EŞEN 1 HES,,unchanged,
TM,435,KEMER HES,,unchanged,
TM,436,BERKMAN HES,,unchanged,
TM,437,BÜYÜKÇEKMECE,,unchanged,
TM,438,MARMARİS 1,,unchanged,
TM,439,OŞKAN HES,,unchanged,
TM,440,İSTANBUL DGKÇ (A),,unchanged,
TM,441,BAFRA,,unchanged,
TM,443,DATÇA,,unchanged,
TM,444,ZİYARET RES,,unchanged,
TM,445,FETHİYE,,unchanged,
TM,447,ÇATES MUHAMMED DEMİREL,,unchanged,
TM,449,MİLAS,,unchanged,
TM,450,AMBARLI TM,,unchanged,
TM,451,KUŞADASI GİS,,unchanged,
TM,452,GERMENCİK,,unchanged,
TM,453,DİLER ÇELİK,,unchanged,
TM,454,AKSA ANTALYA 380,,unchanged,
TM,455,ÇAYCUMA,,unchanged,
TM,456,AKKÖPRÜ HES,,unchanged,
TM,457,ANDIRIN HES,,unchanged,
TM,458,NAZİLLİ,,unchanged,
TM,459,KOZAN HAVZA,,unchanged,
TM,460,İSTANBUL F.OİL DGKÇ (B),,unchanged,
TM,461,GÖLCÜK,,unchanged,
TM,462,KUNDU,,updated,Rakım (m)
TM,463,OYKA,,unchanged,
TM,464,SÖKE,,unchanged,
TM,465,EŞEN 2 HES,,unchanged,
TM,466,ARSLANBEY,,unchanged,
TM,467,SANİBEY HES,,unchanged,
TM,470,MENGE HES,,unchanged,
